CASE ID,TICKET TYPE,MEMBERSHIP,PRIORITY,RESOURCE OF STARTING ACTIVITY,NUMBER OF ACTIVE CASES AT START,Decision
"Case 1376","Task","Premium","High","Res4",21,"False/No-Wait"
"Case 1377","Task","Premium","Normal","Res4",21,"True/Wait"
"Case 1378","Task","Gold","Normal","Res4",21,"False/No-Wait"
"Case 1379","Question","Gold","High","Res4",21,"False/No-Wait"
"Case 138","Question","Gold","Normal","Res8",21,"False/No-Wait"
"Case 1380","Task","Premium","Normal","Res4",21,"True/Wait"
"Case 1381","Question","Gold","Normal","Res8",21,"True/Wait"
"Case 1382","Task","Premium","Normal","Res4",21,"False/No-Wait"
"Case 1383","Incident","Premium","Normal","Res3",21,"False/No-Wait"
"Case 1384","Question","Premium","Normal","Res4",21,"False/No-Wait"
"Case 1385","Incident","Premium","High","Res3",21,"False/No-Wait"
"Case 1386","Question","Premium","Normal","Res3",21,"False/No-Wait"
"Case 1387","Task","Premium","Normal","Res3",21,"True/Wait"
"Case 1388","Task","Gold","High","Res4",21,"False/No-Wait"
"Case 1389","Question","Gold","High","Res4",21,"False/No-Wait"
"Case 139","Question","Gold","Normal","Res4",21,"False/No-Wait"
"Case 1390","Task","Premium","Normal","Res8",21,"True/Wait"
"Case 1391","Task","Premium","Normal","Res3",21,"True/Wait"
"Case 1392","Task","Premium","High","Res3",21,"False/No-Wait"
"Case 1393","Task","Premium","Normal","Res3",21,"True/Wait"
"Case 1394","Question","Gold","Normal","Res3",21,"False/No-Wait"
"Case 1395","Task","Gold","High","Res4",21,"False/No-Wait"
"Case 1396","Task","Premium","Normal","Res4",21,"False/No-Wait"
"Case 1397","Task","Premium","Normal","Res4",21,"True/Wait"
"Case 1398","Task","Premium","Normal","Res4",21,"True/Wait"
"Case 1399","Question","Gold","Normal","Res8",21,"False/No-Wait"
"Case 14","Incident","Gold","High","Res8",21,"False/No-Wait"
"Case 140","Task","Premium","Normal","Res8",21,"False/No-Wait"
"Case 1400","Incident","Gold","Normal","Res4",21,"False/No-Wait"
"Case 1401","Task","Premium","Normal","Res8",21,"True/Wait"
"Case 1402","Task","Premium","Normal","Res4",21,"False/No-Wait"
"Case 1403","Task","Premium","High","Res3",21,"True/Wait"
"Case 1404","Incident","Gold","Normal","Res8",21,"False/No-Wait"
"Case 1405","Task","Premium","Normal","Res8",21,"False/No-Wait"
"Case 1406","Task","Gold","Normal","Res3",21,"False/No-Wait"
"Case 1407","Task","Gold","Normal","Res4",21,"True/Wait"
"Case 1408","Question","Premium","Normal","Res8",21,"False/No-Wait"
"Case 1409","Incident","Gold","High","Res4",21,"False/No-Wait"
"Case 141","Incident","Premium","Normal","Res3",21,"True/Wait"
"Case 1410","Question","Gold","Normal","Res8",21,"False/No-Wait"
"Case 1411","Task","Premium","Normal","Res8",21,"True/Wait"
"Case 1412","Question","Gold","Normal","Res4",21,"False/No-Wait"
"Case 1413","Question","Gold","Normal","Res4",21,"False/No-Wait"
"Case 1414","Task","Premium","Urgent","Res3",21,"True/Wait"
"Case 1415","Task","Premium","Normal","Res8",21,"False/No-Wait"
"Case 1416","Incident","Gold","Normal","Res4",21,"False/No-Wait"
"Case 1417","Task","Premium","Normal","Res3",21,"False/No-Wait"
"Case 1418","Incident","Premium","Normal","Res4",21,"False/No-Wait"
"Case 1419","Task","Premium","Normal","Res4",21,"True/Wait"
"Case 142","Question","Premium","Normal","Res8",21,"False/No-Wait"
"Case 1420","Task","Premium","Normal","Res8",21,"False/No-Wait"
"Case 1421","Task","Gold","Normal","Res8",21,"False/No-Wait"
"Case 1422","Task","Premium","Normal","Res4",21,"False/No-Wait"
"Case 1423","Task","Premium","High","Res8",21,"True/Wait"
"Case 1424","Task","Premium","Normal","Res3",21,"False/No-Wait"
"Case 1425","Incident","Premium","Urgent","Res3",21,"False/No-Wait"
"Case 1426","Question","Gold","High","Res4",21,"False/No-Wait"
"Case 1427","Task","Premium","Normal","Res3",21,"False/No-Wait"
"Case 1428","Incident","Premium","High","Res3",21,"True/Wait"
"Case 1429","Question","Premium","Normal","Res4",21,"True/Wait"
"Case 143","Task","Premium","Normal","Res4",21,"True/Wait"
"Case 1430","Task","Premium","Normal","Res8",21,"False/No-Wait"
"Case 1431","Question","Gold","Normal","Res8",21,"False/No-Wait"
"Case 1432","Task","Premium","High","Res4",21,"False/No-Wait"
"Case 1433","Task","Premium","Normal","Res3",21,"True/Wait"
"Case 1434","Task","Premium","Normal","Res8",21,"False/No-Wait"
"Case 1435","Question","Gold","High","Res3",21,"False/No-Wait"
"Case 1436","Task","Premium","Normal","Res8",21,"True/Wait"
"Case 1437","Question","Premium","Normal","Res4",21,"False/No-Wait"
"Case 1438","Incident","Premium","Normal","Res4",21,"False/No-Wait"
"Case 1439","Question","Gold","Normal","Res8",21,"False/No-Wait"
"Case 144","Task","Premium","Normal","Res4",21,"True/Wait"
"Case 1440","Question","Gold","High","Res8",21,"False/No-Wait"
"Case 1441","Task","Premium","Normal","Res3",21,"False/No-Wait"
"Case 1442","Question","Gold","High","Res8",21,"False/No-Wait"
"Case 1443","Question","Gold","Normal","Res8",21,"False/No-Wait"
"Case 1444","Question","Gold","Normal","Res3",21,"False/No-Wait"
"Case 1445","Task","Premium","Normal","Res3",21,"False/No-Wait"
"Case 1446","Task","Gold","Normal","Res4",21,"True/Wait"
"Case 1447","Question","Premium","Normal","Res4",21,"False/No-Wait"
"Case 1448","Question","Premium","Normal","Res3",21,"True/Wait"
"Case 1449","Task","Premium","Normal","Res4",21,"True/Wait"
"Case 145","Task","Premium","Normal","Res4",21,"True/Wait"
"Case 1450","Incident","Premium","Normal","Res4",21,"True/Wait"
"Case 1451","Question","Premium","Normal","Res8",21,"False/No-Wait"
"Case 1452","Question","Gold","Normal","Res8",21,"False/No-Wait"
"Case 1453","Question","Gold","Normal","Res8",21,"False/No-Wait"
"Case 1454","Question","Premium","High","Res8",21,"False/No-Wait"
"Case 1455","Question","Gold","Normal","Res4",21,"False/No-Wait"
"Case 1456","Task","Premium","High","Res8",21,"False/No-Wait"
"Case 1457","Task","Premium","Normal","Res8",21,"True/Wait"
"Case 1458","Question","Gold","High","Res4",21,"False/No-Wait"
"Case 1459","Question","Gold","High","Res3",21,"False/No-Wait"
"Case 146","Question","Gold","High","Res3",8,"False/No-Wait"
"Case 1460","Task","Premium","Normal","Res4",8,"True/Wait"
"Case 1461","Task","Gold","Normal","Res3",8,"False/No-Wait"
"Case 1462","Task","Premium","High","Res4",8,"True/Wait"
"Case 1463","Question","Premium","Normal","Res3",8,"False/No-Wait"
"Case 1464","Task","Premium","Normal","Res4",8,"True/Wait"
"Case 1465","Task","Premium","Normal","Res3",8,"True/Wait"
"Case 1466","Task","Gold","High","Res3",8,"False/No-Wait"
"Case 1467","Question","Gold","Normal","Res8",8,"False/No-Wait"
"Case 1468","Task","Premium","Normal","Res8",8,"False/No-Wait"
"Case 1469","Task","Premium","Normal","Res8",8,"False/No-Wait"
"Case 147","Task","Gold","High","Res4",8,"False/No-Wait"
"Case 1470","Question","Premium","High","Res8",8,"False/No-Wait"
"Case 1471","Incident","Premium","Normal","Res3",8,"False/No-Wait"
"Case 1472","Task","Premium","High","Res8",8,"True/Wait"
"Case 1473","Incident","Premium","Normal","Res3",8,"False/No-Wait"
"Case 1474","Question","Gold","Normal","Res8",8,"False/No-Wait"
"Case 1475","Task","Premium","Normal","Res8",8,"True/Wait"
"Case 1476","Task","Premium","High","Res4",8,"True/Wait"
"Case 1477","Task","Gold","Normal","Res3",8,"False/No-Wait"
"Case 1478","Task","Premium","Normal","Res3",8,"True/Wait"
"Case 1479","Question","Gold","Normal","Res8",8,"False/No-Wait"
"Case 148","Question","Gold","High","Res8",8,"False/No-Wait"
"Case 1480","Incident","Premium","Normal","Res3",8,"False/No-Wait"
"Case 1481","Question","Premium","Normal","Res4",8,"False/No-Wait"
"Case 1482","Question","Gold","High","Res3",8,"False/No-Wait"
"Case 1483","Incident","Premium","Normal","Res8",8,"False/No-Wait"
"Case 1484","Task","Premium","Normal","Res3",8,"True/Wait"
"Case 1485","Task","Premium","High","Res3",8,"False/No-Wait"
"Case 1486","Incident","Gold","Normal","Res4",8,"False/No-Wait"
"Case 1487","Task","Premium","Normal","Res8",8,"False/No-Wait"
"Case 1488","Question","Gold","Normal","Res3",8,"False/No-Wait"
"Case 1489","Question","Gold","Normal","Res4",8,"False/No-Wait"
"Case 149","Question","Gold","High","Res4",8,"False/No-Wait"
"Case 1490","Question","Gold","Normal","Res4",8,"False/No-Wait"
"Case 1491","Task","Premium","Normal","Res3",8,"True/Wait"
"Case 1492","Incident","Premium","Normal","Res8",8,"True/Wait"
"Case 1493","Question","Gold","High","Res3",8,"False/No-Wait"
"Case 1494","Question","Gold","Urgent","Res4",8,"False/No-Wait"
"Case 1495","Task","Premium","Normal","Res3",8,"False/No-Wait"
"Case 1496","Task","Premium","High","Res4",8,"False/No-Wait"
"Case 1497","Question","Premium","Normal","Res4",8,"False/No-Wait"
"Case 1498","Question","Premium","High","Res8",8,"False/No-Wait"
"Case 1499","Task","Premium","High","Res4",8,"True/Wait"
"Case 15","Task","Gold","Normal","Res4",8,"False/No-Wait"
"Case 150","Task","Gold","Normal","Res8",8,"True/Wait"
"Case 1500","Task","Premium","Normal","Res4",8,"False/No-Wait"
"Case 1501","Task","Premium","Normal","Res8",8,"False/No-Wait"
"Case 1502","Task","Premium","Normal","Res4",8,"True/Wait"
"Case 1503","Question","Gold","Normal","Res3",8,"False/No-Wait"
"Case 1504","Task","Premium","Normal","Res3",8,"False/No-Wait"
"Case 1505","Question","Gold","High","Res4",8,"False/No-Wait"
"Case 1506","Task","Premium","Normal","Res4",8,"True/Wait"
"Case 1507","Incident","Gold","Normal","Res3",8,"True/Wait"
"Case 1508","Question","Gold","Normal","Res3",8,"False/No-Wait"
"Case 1509","Task","Premium","Normal","Res3",8,"True/Wait"
"Case 151","Incident","Gold","High","Res4",8,"False/No-Wait"
"Case 1510","Task","Premium","Normal","Res8",8,"True/Wait"
"Case 1511","Question","Gold","Normal","Res8",8,"False/No-Wait"
"Case 1512","Task","Gold","Normal","Res8",8,"False/No-Wait"
"Case 1513","Task","Premium","Normal","Res4",8,"False/No-Wait"
"Case 1514","Task","Premium","Normal","Res8",8,"False/No-Wait"
"Case 1515","Question","Gold","Normal","Res8",8,"False/No-Wait"
"Case 1516","Task","Premium","Normal","Res8",8,"True/Wait"
"Case 1517","Incident","Gold","Normal","Res4",8,"False/No-Wait"
"Case 1518","Task","Premium","Normal","Res8",8,"True/Wait"
"Case 1519","Incident","Premium","Normal","Res4",8,"False/No-Wait"
"Case 152","Question","Gold","Normal","Res4",8,"False/No-Wait"
"Case 1520","Task","Gold","Normal","Res3",8,"False/No-Wait"
"Case 1521","Incident","Gold","High","Res8",8,"False/No-Wait"
"Case 1522","Question","Gold","High","Res4",8,"False/No-Wait"
"Case 1523","Question","Gold","High","Res3",8,"False/No-Wait"
"Case 1524","Question","Gold","Normal","Res4",8,"False/No-Wait"
"Case 1525","Question","Gold","Normal","Res4",8,"False/No-Wait"
"Case 1526","Incident","Gold","Normal","Res3",8,"True/Wait"
"Case 1527","Question","Gold","Urgent","Res4",8,"False/No-Wait"
"Case 1528","Question","Premium","Normal","Res8",8,"False/No-Wait"
"Case 1529","Question","Gold","Normal","Res8",8,"False/No-Wait"
"Case 153","Question","Gold","High","Res3",8,"False/No-Wait"
"Case 1530","Incident","Premium","Urgent","Res4",8,"False/No-Wait"
"Case 1531","Question","Gold","Normal","Res8",8,"False/No-Wait"
"Case 1532","Task","Gold","Normal","Res8",8,"False/No-Wait"
"Case 1533","Task","Gold","Normal","Res8",8,"False/No-Wait"
"Case 1534","Incident","Premium","High","Res3",8,"False/No-Wait"
"Case 1535","Task","Premium","Normal","Res4",8,"False/No-Wait"
"Case 1536","Incident","Gold","Normal","Res3",8,"False/No-Wait"
"Case 1537","Question","Gold","Normal","Res8",8,"True/Wait"
"Case 1538","Task","Gold","Normal","Res4",8,"False/No-Wait"
"Case 1539","Incident","Gold","Normal","Res8",8,"True/Wait"
"Case 154","Task","Premium","Normal","Res8",8,"True/Wait"
"Case 1540","Task","Gold","Normal","Res4",8,"True/Wait"
"Case 1541","Task","Gold","High","Res4",8,"False/No-Wait"
"Case 1542","Task","Premium","High","Res3",8,"False/No-Wait"
"Case 1543","Task","Premium","Normal","Res3",8,"True/Wait"
"Case 1544","Question","Gold","Normal","Res3",8,"False/No-Wait"
"Case 1545","Question","Gold","High","Res8",8,"False/No-Wait"
"Case 1546","Task","Premium","High","Res3",8,"True/Wait"
"Case 1547","Question","Gold","Normal","Res3",8,"False/No-Wait"
"Case 1548","Question","Gold","Normal","Res4",8,"False/No-Wait"
"Case 1549","Task","Premium","High","Res3",8,"False/No-Wait"
"Case 155","Task","Premium","Normal","Res8",8,"True/Wait"
"Case 1550","Question","Gold","Normal","Res8",8,"False/No-Wait"
"Case 1551","Question","Premium","High","Res3",8,"False/No-Wait"
"Case 1552","Question","Gold","Normal","Res4",8,"False/No-Wait"
"Case 1553","Question","Gold","High","Res4",8,"False/No-Wait"
"Case 1554","Task","Gold","Normal","Res3",8,"False/No-Wait"
"Case 1555","Question","Gold","Normal","Res4",8,"False/No-Wait"
"Case 1556","Question","Gold","Normal","Res3",8,"False/No-Wait"
"Case 1557","Task","Premium","Normal","Res8",8,"True/Wait"
"Case 1558","Question","Gold","Normal","Res4",8,"False/No-Wait"
"Case 1559","Question","Gold","Normal","Res3",8,"False/No-Wait"
"Case 156","Incident","Gold","Normal","Res8",8,"False/No-Wait"
"Case 1560","Question","Gold","Normal","Res4",8,"False/No-Wait"
"Case 1561","Question","Premium","Normal","Res8",8,"False/No-Wait"
"Case 1562","Task","Premium","Normal","Res4",8,"True/Wait"
"Case 1563","Incident","Premium","High","Res8",8,"False/No-Wait"
"Case 1564","Question","Gold","Normal","Res8",8,"False/No-Wait"
"Case 1565","Task","Premium","High","Res3",8,"False/No-Wait"
"Case 1566","Incident","Gold","Normal","Res8",8,"False/No-Wait"
"Case 1567","Task","Premium","High","Res8",8,"True/Wait"
"Case 1568","Question","Gold","Normal","Res4",8,"False/No-Wait"
"Case 1569","Question","Premium","Urgent","Res3",8,"False/No-Wait"
"Case 157","Task","Premium","Normal","Res4",8,"False/No-Wait"
"Case 1570","Task","Premium","Normal","Res3",8,"False/No-Wait"
"Case 1571","Task","Premium","Normal","Res4",9,"True/Wait"
"Case 1572","Task","Premium","High","Res4",9,"False/No-Wait"
"Case 1573","Question","Gold","High","Res4",9,"False/No-Wait"
"Case 1574","Task","Premium","Normal","Res4",9,"False/No-Wait"
"Case 1575","Task","Premium","High","Res8",9,"True/Wait"
"Case 1576","Incident","Premium","Normal","Res4",9,"False/No-Wait"
"Case 1577","Incident","Gold","Normal","Res3",9,"False/No-Wait"
"Case 1578","Question","Gold","High","Res8",9,"False/No-Wait"
"Case 1579","Question","Gold","Normal","Res4",9,"False/No-Wait"
"Case 158","Question","Gold","Normal","Res3",9,"False/No-Wait"
"Case 1580","Task","Premium","Normal","Res8",9,"True/Wait"
"Case 1581","Question","Gold","Normal","Res8",9,"False/No-Wait"
"Case 1582","Task","Premium","High","Res8",9,"False/No-Wait"
"Case 1583","Task","Premium","High","Res4",9,"False/No-Wait"
"Case 1584","Question","Gold","Normal","Res4",9,"False/No-Wait"
"Case 1585","Question","Premium","Normal","Res4",9,"False/No-Wait"
"Case 1586","Task","Premium","Urgent","Res4",9,"False/No-Wait"
"Case 1587","Task","Premium","Normal","Res4",9,"True/Wait"
"Case 1588","Question","Gold","Normal","Res4",9,"False/No-Wait"
"Case 1589","Incident","Premium","Normal","Res8",9,"False/No-Wait"
"Case 159","Task","Gold","Normal","Res4",9,"False/No-Wait"
"Case 1590","Question","Premium","High","Res4",9,"False/No-Wait"
"Case 1591","Incident","Gold","Normal","Res3",9,"False/No-Wait"
"Case 1592","Task","Premium","Urgent","Res3",9,"True/Wait"
"Case 1593","Task","Premium","Normal","Res8",9,"False/No-Wait"
"Case 1594","Question","Gold","Normal","Res4",9,"False/No-Wait"
"Case 1595","Incident","Premium","High","Res8",9,"True/Wait"
"Case 1596","Task","Gold","High","Res4",9,"False/No-Wait"
"Case 1597","Question","Gold","Normal","Res4",9,"False/No-Wait"
"Case 1598","Question","Gold","Normal","Res4",9,"False/No-Wait"
"Case 1599","Task","Premium","Normal","Res8",9,"False/No-Wait"
"Case 16","Question","Gold","Normal","Res3",9,"False/No-Wait"
"Case 160","Question","Gold","High","Res3",9,"False/No-Wait"
"Case 1600","Question","Gold","Normal","Res8",9,"False/No-Wait"
"Case 1601","Question","Premium","High","Res8",9,"False/No-Wait"
"Case 1602","Question","Gold","Normal","Res4",9,"False/No-Wait"
"Case 1603","Question","Premium","High","Res3",9,"False/No-Wait"
"Case 1604","Question","Premium","Normal","Res8",9,"True/Wait"
"Case 1605","Question","Gold","High","Res4",9,"True/Wait"
"Case 1606","Task","Premium","Normal","Res4",9,"True/Wait"
"Case 1607","Task","Gold","Normal","Res3",9,"False/No-Wait"
"Case 1608","Question","Gold","Normal","Res8",9,"False/No-Wait"
"Case 1609","Task","Premium","High","Res3",9,"True/Wait"
"Case 161","Incident","Gold","High","Res8",9,"False/No-Wait"
"Case 1610","Task","Premium","Normal","Res8",9,"False/No-Wait"
"Case 1611","Question","Gold","High","Res3",9,"False/No-Wait"
"Case 1612","Question","Gold","Normal","Res8",9,"False/No-Wait"
"Case 1613","Question","Gold","Normal","Res3",9,"False/No-Wait"
"Case 1614","Question","Gold","Normal","Res8",9,"False/No-Wait"
"Case 1615","Task","Premium","Normal","Res8",9,"True/Wait"
"Case 1616","Incident","Gold","High","Res3",9,"False/No-Wait"
"Case 1617","Task","Premium","Normal","Res3",9,"True/Wait"
"Case 1618","Question","Gold","High","Res8",9,"False/No-Wait"
"Case 1619","Question","Gold","Normal","Res8",9,"False/No-Wait"
"Case 162","Task","Gold","Normal","Res3",9,"False/No-Wait"
"Case 1620","Task","Premium","High","Res4",9,"True/Wait"
"Case 1621","Task","Premium","Normal","Res3",9,"False/No-Wait"
"Case 1622","Task","Premium","Normal","Res8",9,"True/Wait"
"Case 1623","Question","Premium","High","Res8",9,"False/No-Wait"
"Case 1624","Question","Gold","High","Res4",9,"False/No-Wait"
"Case 1625","Question","Gold","High","Res3",9,"False/No-Wait"
"Case 1626","Incident","Premium","Normal","Res3",9,"False/No-Wait"
"Case 1627","Question","Gold","Normal","Res8",9,"False/No-Wait"
"Case 1628","Question","Gold","Normal","Res4",9,"False/No-Wait"
"Case 1629","Question","Gold","High","Res4",9,"False/No-Wait"
"Case 163","Question","Gold","Normal","Res3",9,"False/No-Wait"
"Case 1630","Task","Premium","Normal","Res8",9,"False/No-Wait"
"Case 1631","Question","Premium","High","Res3",9,"False/No-Wait"
"Case 1632","Question","Premium","High","Res8",9,"False/No-Wait"
"Case 1633","Task","Premium","Normal","Res4",9,"False/No-Wait"
"Case 1634","Task","Gold","Normal","Res8",9,"False/No-Wait"
"Case 1635","Question","Gold","High","Res3",9,"False/No-Wait"
"Case 1636","Question","Premium","Normal","Res3",9,"False/No-Wait"
"Case 1637","Incident","Premium","High","Res8",9,"False/No-Wait"
"Case 1638","Incident","Gold","High","Res3",9,"False/No-Wait"
"Case 1639","Question","Gold","High","Res4",9,"False/No-Wait"
"Case 164","Question","Gold","Normal","Res4",9,"False/No-Wait"
"Case 1640","Question","Premium","Normal","Res4",9,"False/No-Wait"
"Case 1641","Task","Premium","High","Res3",9,"True/Wait"
"Case 1642","Task","Gold","Normal","Res8",9,"True/Wait"
